Right foot rotation,Left foot rotation
-5.905,-3.55925
-5.89744,-3.57178
-5.89122,-3.58796
-5.88661,-3.60742
-5.88386,-3.62948
-5.88311,-3.65311
-5.88437,-3.67694
-5.88753,-3.69933
-5.89229,-3.71845
-5.89818,-3.73241
-5.90448,-3.73936
-5.91032,-3.73758
-5.91464,-3.72554
-5.91624,-3.70197
-5.91388,-3.66583
-5.90629,-3.61636
-5.89225,-3.553
-5.87069,-3.47542
-5.84073,-3.38345
-5.80174,-3.27711
-5.75345,-3.15663
-5.69598,-3.02251
-5.62992,-2.87557
-5.55634,-2.71708
-5.47679,-2.54876
-5.3933,-2.37284
-5.30829,-2.19203
-5.22452,-2.00943
-5.145,-1.82848
-5.07285,-1.65285
-5.01119,-1.48639
-4.96294,-1.33304
-4.93076,-1.19675
-4.91692,-1.08138
-4.92327,-0.990635
-4.95117,-0.927927
-5.00146,-0.896293
-5.07446,-0.898243
-5.16993,-0.93563
-5.28708,-1.0095
-5.42449,-1.11992
-5.5802,-1.26584
-5.75161,-1.44498
-5.93558,-1.6537
-6.12846,-1.88709
-6.32615,-2.13906
-6.52422,-2.40263
-6.71804,-2.67041
-6.90291,-2.93507
-7.0742,-3.18983
-7.22747,-3.42883
-7.35861,-3.64735
-7.46394,-3.84187
-7.54031,-4.01011
-7.58519,-4.15095
-7.59677,-4.26436
-7.57404,-4.35122
-7.51694,-4.41319
-7.42636,-4.45254
-7.30426,-4.47198
-7.15363,-4.47446
-6.97841,-4.46308
-6.78334,-4.44084
-6.57373,-4.41063
-6.35515,-4.37508
-6.13318,-4.33658
-5.91312,-4.29723
-5.69985,-4.25885
-5.49764,-4.22299
-5.31001,-4.19095
-5.1397,-4.16379
-4.9886,-4.14234
-4.85778,-4.12725
-4.74758,-4.11897
-4.65767,-4.11783
-4.58722,-4.12407
-4.53496,-4.1378
-4.49937,-4.15909
-4.47877,-4.18797
-4.47145,-4.22442
-4.47575,-4.26839
-4.4901,-4.31975
-4.51305,-4.37828
-4.54326,-4.44361
-4.5795,-4.51523
-4.62065,-4.59245
-4.66566,-4.6744
-4.71353,-4.76003
-4.76332,-4.84804
-4.81414,-4.93693
-4.8651,-5.02504
-4.91538,-5.11062
-4.96419,-5.19201
-5.01085,-5.26773
-5.05473,-5.33657
-5.09535,-5.39765
-5.13231,-5.45042
-5.16531,-5.49464
-5.19415,-5.5304
-5.21875,-5.55809
-5.23911,-5.57833
-5.25535,-5.59195
-5.26767,-5.59991
-5.27634,-5.60324
-5.28167,-5.60297
-5.28403,-5.60008
-5.28383,-5.59548
-5.28153,-5.58998
-5.27763,-5.58425
-5.27269,-5.57884
-5.26727,-5.57413
-5.26195,-5.57036
-5.25731,-5.56758
-5.25387,-5.56568
-5.2521,-5.56435
-5.25236,-5.56319
-5.25487,-5.56165
-5.25972,-5.55915
-5.26684,-5.55509
-5.276,-5.54888
-5.28686,-5.54001
-5.29894,-5.52807
-5.31173,-5.51278
-5.32468,-5.49403
-5.33725,-5.4719
-5.34895,-5.44665
-5.35937,-5.41873
-5.36818,-5.38876
-5.37516,-5.35743
-5.38017,-5.32555
-5.38316,-5.29388
-5.3841,-5.26316
-5.38297,-5.23406
-5.37972,-5.20713
-5.37429,-5.18284
-5.36656,-5.16152
-5.35641,-5.14335
-5.34372,-5.12837
-5.3284,-5.11644
-5.31039,-5.10731
-5.28972,-5.10062
-5.26649,-5.09597
-5.24095,-5.09295
-5.21347,-5.09121
-5.18454,-5.0904
-5.15476,-5.09027
-5.12484,-5.0906
-5.09554,-5.09123
-5.06764,-5.09206
-5.042,-5.09308
-5.01945,-5.09431
-5.00084,-5.09589
-4.98693,-5.09802
-4.9784,-5.10096
-4.97574,-5.10505
-4.97924,-5.11067
-4.98891,-5.11821
-5.00446,-5.12807
-5.02533,-5.14062
-5.05066,-5.15616
-5.07942,-5.17488
-5.11045,-5.19684
-5.14265,-5.22197
-5.17505,-5.25003
-5.20686,-5.28071
-5.23754,-5.31356
-5.26673,-5.34809
-5.29416,-5.38376
-5.31957,-5.42
-5.34266,-5.45623
-5.36301,-5.49191
-5.38017,-5.5265
-5.39363,-5.55955
-5.40292,-5.59067
-5.40763,-5.61953
-5.40753,-5.64586
-5.40255,-5.66948
-5.39284,-5.69023
-5.37876,-5.70803
-5.36082,-5.72288
-5.3397,-5.73482
-5.3161,-5.744
-5.29074,-5.75061
-5.26426,-5.7549
-5.23721,-5.75715
-5.20999,-5.75764
-5.18285,-5.75664
-5.15593,-5.75437
-5.12925,-5.75101
-5.10275,-5.74667
-5.07628,-5.74144
-5.04963,-5.73536
-5.02256,-5.72844
-4.99482,-5.72069
-4.96616,-5.71212
-4.93638,-5.70274
-4.90535,-5.69259
-4.87306,-5.68175
-4.83962,-5.67033
-4.80526,-5.65849
-4.77041,-5.6464
-4.73562,-5.63426
-4.70155,-5.62228
-4.66898,-5.61067
-4.63878,-5.5996
-4.61186,-5.58922
-4.5891,-5.57964
-4.57136,-5.57092
-4.55935,-5.5631
-4.55357,-5.55618
-4.55428,-5.55011
-4.56137,-5.54484
-4.57441,-5.54026
-4.59256,-5.53626
-4.61467,-5.53267
-4.6393,-5.52931
-4.66483,-5.52594
-4.68952,-5.52232
-4.71163,-5.51812
-4.72944,-5.51302
-4.74133,-5.50669
-4.74583,-5.49883
-4.74163,-5.48919
-4.72766,-5.47762
-4.70306,-5.46411
-4.66725,-5.44881
-4.6199,-5.43209
-4.561,-5.41449
-4.49086,-5.39672
-4.41014,-5.37965
-4.31986,-5.36423
-4.22139,-5.35145
-4.11648,-5.34227
-4.00714,-5.33759
-3.89561,-5.33818
-3.78429,-5.34463
-3.67557,-5.35738
-3.57185,-5.37662
-3.47536,-5.4023
-3.38809,-5.43411
-3.31169,-5.47148
-3.24738,-5.51361
-3.19586,-5.55948
-3.15732,-5.60788
-3.13141,-5.65749
-3.11735,-5.70689
-3.11394,-5.75456
-3.11967,-5.79901
-3.13283,-5.8387
-3.15162,-5.87213
-3.17424,-5.8979
-3.19897,-5.91465
-3.22428,-5.92121
-3.24886,-5.91653
-3.27166,-5.89976
-3.29195,-5.8703
-3.30927,-5.82783
-3.32345,-5.77238
-3.33458,-5.70437
-3.34293,-5.62469
-3.34897,-5.53465
-3.3533,-5.43602
-3.35661,-5.33098
-3.35963,-5.22208
-3.36311,-5.11213
-3.36771,-5.00412
-3.374,-4.90111
-3.38236,-4.80609
-3.39298,-4.72188
-3.40584,-4.65106
-3.42071,-4.59582
-3.43723,-4.55788
-3.45492,-4.53841
-3.47327,-4.53798
-3.49183,-4.55653
-3.51023,-4.59345
-3.52823,-4.64761
-3.54567,-4.71743
-3.56251,-4.80096
-3.57875,-4.89598
-3.59441,-5.00007
-3.60955,-5.11068
-3.62423,-5.2252
-3.63855,-5.34103
-3.65263,-5.45565
-3.66661,-5.56666
-3.68064,-5.6719
-3.69483,-5.76946
-3.70924,-5.8578
-3.72384,-5.93576
-3.73847,-6.00261
-3.75293,-6.058
-3.76691,-6.10201
-3.78008,-6.13506
-3.79213,-6.15794
-3.80276,-6.17176
-3.81177,-6.17791
-3.81904,-6.17802
-3.82457,-6.17388
-3.82847,-6.16733
-3.831,-6.16018
-3.83251,-6.15403
-3.8334,-6.15025
-3.83412,-6.14986
-3.83515,-6.15349
-3.83694,-6.16137
-3.83993,-6.17326
-3.84449,-6.18852
-3.85095,-6.2061
-3.85951,-6.22459
-3.87024,-6.24228
-3.88311,-6.2572
-3.89794,-6.26723
-3.91448,-6.27023
-3.93244,-6.26412
-3.95161,-6.24701
-3.97184,-6.21728
-3.9931,-6.17367
-4.01549,-6.11536
-4.03921,-6.04199
-4.0646,-5.95379
-4.09208,-5.85157
-4.12222,-5.73675
-4.15564,-5.61134
-4.19309,-5.47781
-4.23529,-5.33903
-4.28294,-5.19808
-4.33656,-5.05818
-4.39645,-4.92251
-4.46262,-4.79408
-4.53478,-4.67563
-4.61233,-4.56945
-4.6944,-4.47741
-4.77993,-4.4009
-4.86773,-4.34083
-4.9566,-4.29769
